year,FIPS,WaterSupply.Surface.Fresh,WaterSupply.Surface.Saline,WaterSupply.Surface.Total,WaterSupply.Ground.Fresh,WaterSupply.Ground.Saline,WaterSupply.Ground.Total,WaterSupply.Total.Abstraction,WaterSupply.Total.TotalUse,WaterSupply.OtherUnits,Household.Surface.Fresh,Household.Surface.Saline,Household.Ground.Fresh,Household.Ground.Saline,Household.Total.Abstraction,Household.OtherUnts,Household.TotalUse,Irrigation.Crop.Total.Abstraction,Irrigation.Crop.TotalUse,Irrigation.Golf.Total.Abstraction,Irrigation.Golf.TotalUse,Animal.Total.Abstraction,Animal.TotalUse,Aquaculture.Total.Abstraction,Aquaculture.TotalUse,Manufacturing.Total.Abstraction,Manufacturing.TotalUse,Mining.Total.Abstraction,Mining.TotalUse,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP
2000,37101,5.54,0,5.54,1.35,0,1.35,6.890000000000001,6.890000000000001,0,0,0,5.13,0,5.13,-5.13,0,2.6999999999999997,2.6999999999999997,1.03,1.03,2.2199999999999998,2.2199999999999998,0,0,0,0,0.42,0.42,191172,73685,67154,25213,5185,25847,17373,24306,49706,27001,6999,60690,4728,1563,12796,1313,2777,1720,23136,149486
2000,37103,0,0,0,0.79,0,0.79,0.79,0.79,0,0,0,0.04,0,0.04,-0.04,0,0.19,0.19,0.16,0.16,1.03,1.03,0,0,0,0,0,0,9695,4958,4137,2526,381,21539,1337,2053,1843,2405,300,3654,103,52,1628,107,299,123,1495,7785
2000,37105,6.89,0,6.89,0.33,0,0.33,7.22,7.22,0,0,0,1.37,0,1.37,-1.37,0,0.59,0.59,0.87,0.87,0.71,0.71,0,0,0,0,0.82,0.82,60125,24463,21744,9538,2268,23842,6663,9498,14870,9052,2115,25224,2709,859,3531,562,1245,943,8307,61076
2000,37107,0,0,0,10.23,0,10.23,10.23,10.23,0,0,0,0.57,0,0.57,-0.57,0,0.96,0.96,0.31,0.31,1.92,1.92,0,0,2.44,2.44,0.08,0.08,57227,27550,23121,12844,3274,22361,7800,10956,12917,13367,2728,28933,1179,990,6497,576,2705,1359,7434,56733
2000,37109,5.15,0,5.15,0.06,0,0.06,5.21,5.21,0,0,0,2.77,0,2.77,-2.77,0,0.27,0.27,0.7,0.7,0.62,0.62,0,0,0.39,0.39,0.13,0.13,81441,35227,32022,11593,2584,29089,8357,13761,17562,12140,2634,12168,775,526,7410,634,980,739,7929,64728
2000,37111,1.98,0,1.98,0.59,0,0.59,2.57,2.57,0,0,0,2.18,0,2.18,-2.18,0,0.28,0.28,0.31,0.31,0.25,0.25,0,0,2.46,2.46,0.07,0.07,45109,21297,17961,7543,1143,22725,5283,8795,9276,9348,1608,5647,502,248,6643,488,1041,1131,5045,40141
2000,37113,1.62,0,1.62,0.17,0,0.17,1.79,1.79,0,0,0,1.2,0,1.2,-1.2,0,0.21,0.21,0.77,0.77,0.08,0.08,0,0,0,0,0.05,0.05,34410,25557,15699,5679,650,28429,2938,9653,6388,5999,900,3684,554,235,3507,328,846,360,4860,30816
2000,37115,0.38,0,0.38,0.29,0,0.29,0.6699999999999999,0.6699999999999999,0,0,0,1.07,0,1.07,-1.07,0,0.15,0.15,0.17,0.17,0.13,0.13,0,0,0,0,0.04,0.04,21405,10892,8452,3586,559,25326,2229,4486,3882,3566,552,1265,98,47,2796,155,398,1125,2149,14417
2000,37117,0,0,0,2.32,0,2.32,2.32,2.32,0,0,0,1.12,0,1.12,-1.12,0,0.8200000000000001,0.8200000000000001,0.24,0.24,0.32,0.32,0,0,82.52,82.52,0,0,23054,11608,9471,4172,1134,23269,2767,5030,4775,4436,997,11051,114,84,2532,73,703,145,2389,21111
2000,37119,104.21,0,104.21,2.29,0,2.29,106.5,106.5,0,0,0,2.79,0,2.79,-2.79,0,1.13,1.13,5.609999999999999,5.609999999999999,0.17,0.17,0,0,11.8,11.8,0.75,0.75,1054314,435795,403546,131485,34106,37298,69881,112217,254065,87596,39834,555581,46928,94211,6149,9070,23988,15237,124566,1063828
